ChEMBL ID,DrugBank ID,Name,ATC code(s),ATC therapeutic group,ATC status,pKa (acidic),SMILES,pKa (basic),pKa (exp.)_1,pKa (exp.)_2,pKa_comment,logP (pred.),logP (exp.),DyeLeS score,Fluorescent,First approval (year),Oral,MW,TPSA,HBD,HBA,lipinski_violations,lipinski_pass,ABCB1_Pgp_CHEMBL
CHEMBL539423,DB12548,Sparsentan,C09XX01,Сердечно-сосудистая система,Success,5.69,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C(COCC)=C1)C1=CC=CC=C1S(=O)(=O)NC1=NOC(C)=C1C,3.52,,,,5.56,,-0.9805466263,False,,,592.76,114.1,1.0,7.0,2,False,
CHEMBL2051955,DB00922,Levosimendan,C01CX08,Сердечно-сосудистая система,Success,5.77,C[C@@H]1CC(=O)NN=C1C1=CC=C(NN=C(C#N)C#N)C=C1,2.24,,,,2.69,,-1.401069212,False,,,280.29,113.43,2.0,6.0,0,True,
CHEMBL370252,DB08972,Flumequine,J01MB07,Противомикробные (системные),Success,5.81,CC1CCC2=CC(F)=CC3=C2N1C=C(C(O)=O)C3=O,-4.3,,,,1.62,,0.987550503,True,,,261.25,59.3,1.0,2.0,0,True,
CHEMBL70418,DB00349,Clobazam,N05BA09,Нервная система,Success,5.82,CN1C2=C(C=C(Cl)C=C2)N(C2=CC=CC=C2)C(=O)CC1=O,-6.7,,,,2.14,2.12,-0.6506746304,False,2005.0,1.0,300.75,40.62,0.0,2.0,0,True,
CHEMBL191,DB00678,Losartan,C09CA01,Сердечно-сосудистая система,Success,5.85,CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1,3.85,5.5,,5.5,4.5,1.19,-0.3443221845,False,1995.0,1.0,422.92,92.51,2.0,5.0,0,True,inhibitor; interaction
CHEMBL1513,DB01029,Irbesartan,C09CA04,Сердечно-сосудистая система,Success,5.85,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1,4.12,,,,4.51,4.5,-0.7599991081,False,1997.0,1.0,428.54,87.13,1.0,5.0,0,True,
CHEMBL1255800,DB08874,Fidaxomicin,A07AA12,ЖКТ и обмен веществ,Success,5.87,[H][C@@]1(O[C@@H]2[C@@H](CC)\C=C(C)\[C@@H](O)C\C=C\C=C(CO[C@@H]3O[C@H](C)[C@@H](OC(=O)C4=C(CC)C(Cl)=C(O)C(Cl)=C4O)[C@H](O)[C@@H]3OC)\C(=O)O[C@@H](C\C=C(/C)\C=C2/C)[C@@H](C)O)OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@@H]1O,-1.4,,,,5.59,,-1.37494081,False,,,1058.05,266.66,7.0,18.0,5,False,
CHEMBL1525826,DB00664,Sulfametopyrazine,J01ED02,Противомикробные (системные),Success,5.91,COC1=NC=CN=C1NS(=O)(=O)C1=CC=C(N)C=C1,1.98,,,,0.41,0.7,-0.2501210362,False,,,280.31,107.2,2.0,6.0,0,True,
CHEMBL2028661,DB08822,Azilsartan medoxomil,C09CA09,Сердечно-сосудистая система,Success,5.91,CCOC1=NC2=C(N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NOC(=O)N1)C(=CC=C2)C(=O)OCC1=C(C)OC(=O)O1,1.48,,,,4.94,,-1.154749839,False,2011.0,1.0,568.54,155.59,1.0,10.0,2,False,
CHEMBL1148,DB00214,Torasemide,C03CA04,Сердечно-сосудистая система,Success,5.92,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,4.2,7.1,,7.1,1.76,3.36,-0.6303824632,False,1993.0,1.0,348.43,100.19,3.0,5.0,0,True,
